Depth [m],Area [m2]
12.73,2433372.5
12.74,2432166.7
12.75,2430984
12.76,2429782.5
12.77,2428564.2
12.78,2427348.5
12.79,2426098
12.8,2424890.6
12.81,2423616
12.82,2422360.9
12.83,2421075
12.84,2419815
12.85,2418555
12.86,2417292.6
12.87,2416013
12.88,2414725.2
12.89,2413432.5
12.9,2412201
12.91,2410938.4
12.92,2409647.5
12.93,2408406
12.94,2407084.1
12.95,2405834.3
12.96,2404484
12.97,2403148.5
12.98,2401832.3
12.99,2400402.2
13,2399029
13.01,2397635.5
13.02,2396192.2
13.03,2394757.6
13.04,2393417.1
13.05,2392074
13.06,2390727.8
13.07,2389352.6
13.08,2388041
13.09,2386714.5
13.1,2385385
13.11,2384059.5
13.12,2382785.8
13.13,2381482.8
13.14,2380039.5
13.15,2378686.1
13.16,2377356.8
13.17,2376024.5
13.18,2374717.4
13.19,2373428.9
13.2,2372147.7
13.21,2370863.5
13.22,2369594.5
13.23,2368291.5
13.24,2366970.5
13.25,2365673.5
13.26,2364344.3
13.27,2362973
13.28,2361612.5
13.29,2360257.1
13.3,2358964
13.31,2357669.1
13.32,2356378.5
13.33,2355098.5
13.34,2353826.5
13.35,2352605.3
13.36,2351352
13.37,2350096.7
13.38,2348843.6
13.39,2347602.5
13.4,2346335.5
13.41,2345119
13.42,2343843.3
13.43,2342576
13.44,2341291.3
13.45,2340022.9
13.46,2338752
13.47,2337452.8
13.48,2336130.3
13.49,2334825.3
13.5,2333445.2
13.51,2332138.8
13.52,2330756.2
13.53,2329307.1
13.54,2327936
13.55,2326656.3
13.56,2325268.4
13.57,2323939.4
13.58,2322520.7
13.59,2321197.6
13.6,2319869.1
13.61,2318577.9
13.62,2317227.5
13.63,2315884.2
13.64,2314530.2
13.65,2313165.5
13.66,2311862.8
13.67,2310582.6
13.68,2309331.4
13.69,2308095.2
13.7,2306802.4
13.71,2305527.3
13.72,2304237
13.73,2303028.2
13.74,2301749.4
13.75,2300477.2
13.76,2299297.7
13.77,2298001.9
13.78,2296744
13.79,2295459.3
13.8,2294194.4
13.81,2292873.4
13.82,2291583.3
13.83,2290198.9
13.84,2288879.5
13.85,2287538.3
13.86,2286190.2
13.87,2284871.9
13.88,2283502
13.89,2282161.3
13.9,2280811.5
13.91,2279435.5
13.92,2278015.9
13.93,2276680.9
13.94,2275360.7
13.95,2273948.1
13.96,2272592.1
13.97,2271168.9
13.98,2269713.9
13.99,2268282.4
14,2266911.3
14.01,2265463.4
14.02,2264070.7
14.03,2262697.1
14.04,2261288.4
14.05,2259798.1
14.06,2258280.8
14.07,2256803.1
14.08,2255398.2
14.09,2253901
14.1,2252423
14.11,2250920.8
14.12,2249377.6
14.13,2247805.9
14.14,2246175.4
14.15,2244538.7
14.16,2242879.5
14.17,2241169.1
14.18,2239507.6
14.19,2237875.8
14.2,2236262.1
14.21,2234729
14.22,2233129.4
14.23,2231659.4
14.24,2230222.4
14.25,2228721.4
14.26,2227144.6
14.27,2225557.6
14.28,2223961.2
14.29,2222382.8
14.3,2220888.9
14.31,2219421.8
14.32,2217926.8
14.33,2216440.2
